"","lambda","mu","prob","meanN","meanNb"
"3218",0.01901,2.47,-46.7674502166291,1.81614969861225,1.70922324421267
"3219",0.02001,2.47,-46.8702542767726,1.84898267147539,1.73834630975781
"3220",0.02101,2.47,-46.9690840312709,1.88087733246904,1.76665696098623
"3221",0.02201,2.47,-47.0641553149036,1.91185131564383,1.79416799494916
"3222",0.02301,2.47,-47.1556684684425,1.94192415878709,1.82089427439122
"3223",0.02401,2.47,-47.243809872037,1.97111693254343,1.84685234720095
"3224",0.02501,2.47,-47.3287532602981,1.99945189511566,1.87206009596219
"3225",1e-05,2.49,-43.5938969041555,1.00055038517372,1.0004594355481
"3226",0.00101,2.49,-43.8677072494635,1.05453451468124,1.04573678076753
"3227",0.00201,2.49,-44.1226048254752,1.10663807409477,1.08980193666637
"3228",0.00301,2.49,-44.360712051428,1.15711798473737,1.13279144786705
"3229",0.00401,2.49,-44.5838599757323,1.20617525354356,1.17481532484097
"3230",0.00501,2.49,-44.7936218111102,1.25396521247723,1.21595913530941
"3231",0.00601,2.49,-44.9913468544508,1.30060343668496,1.25628462494219
"3232",0.00701,2.49,-45.178192305392,1.34617094723641,1.29583120487893
"3233",0.00801,2.49,-45.3551523270193,1.39072007957643,1.33461901504659
"3234",0.00901,2.49,-45.5230839874866,1.43428087483671,1.37265310650464
"3235",0.01001,2.49,-45.682729864274,1.47686734573063,1.40992795033159
"3236",0.01101,2.49,-45.8347372986088,1.5184830483003,1.44643162453929
"3237",0.01201,2.49,-45.9796744880725,1.55912564988404,1.48214930933013
"3238",0.01301,2.49,-46.1180437429287,1.59879041980404,1.51706596305632
"3239",0.01401,2.49,-46.250292296326,1.63747272265666,1.55116820871481
"3240",0.01501,2.49,-46.3768210659772,1.67516966969143,1.58444554179746
"3241",0.01601,2.49,-46.4979917367091,1.7118811053304,1.61689099843427
"3242",0.01701,2.49,-46.6141324874731,1.74761009638541,1.6485014201391
"3243",0.01801,2.49,-46.7255426352974,1.78236306756269,1.67927743395609
"3244",0.01901,2.49,-46.8324964194291,1.81614969861225,1.70922324421267
"3245",0.02001,2.49,-46.9352461051068,1.84898267147539,1.73834630975781
"3246",0.02101,2.49,-47.0340245492758,1.88087733246904,1.76665696098623
"3247",0.02201,2.49,-47.129047340095,1.91185131564383,1.79416799494916
"3248",0.02301,2.49,-47.2205145976354,1.94192415878709,1.82089427439122
"3249",0.02401,2.49,-47.3086125038502,1.97111693254343,1.84685234720095
"3250",0.02501,2.49,-47.3935146147914,1.99945189511566,1.87206009596219
"3251",1e-05,2.51,-43.6623471377382,1.00055038517372,1.0004594355481
"3252",0.00101,2.51,-43.93586738485,1.05453451468124,1.04573678076753
"3253",0.00201,2.51,-44.1905143416047,1.10663807409477,1.08980193666637
"3254",0.00301,2.51,-44.428402437162,1.15711798473737,1.13279144786705
"3255",0.00401,2.51,-44.651356795996,1.20617525354356,1.17481532484097
"3256",0.00501,2.51,-44.8609461414834,1.25396521247723,1.21595913530941
"3257",0.00601,2.51,-45.0585163048692,1.30060343668496,1.25628462494219
"3258",0.00701,2.51,-45.2452217673022,1.34617094723641,1.29583120487893
"3259",0.00801,2.51,-45.4220545288524,1.39072007957643,1.33461901504659
"3260",0.00901,2.51,-45.5898699140736,1.43428087483671,1.37265310650464
