"","lambda","mu","prob","meanN","meanNb"
"801",0.81,1.45,-44.6632732868963,1.48634927003117,1.41337629914387
"802",0.91,1.45,-45.0718817800274,1.55248302016967,1.47050104447676
"803",1.01,1.45,-45.4914057862735,1.61990558393662,1.52891460972885
"804",0.01,1.47,-41.7903818770953,1.00545734990796,1.00455644900706
"805",0.11,1.47,-42.1067296142966,1.06078965110932,1.05087974119941
"806",0.21,1.47,-42.4348390506799,1.11750027446782,1.0985813555489
"807",0.31,1.47,-42.7746433021098,1.17558557599701,1.14765764806927
"808",0.41,1.47,-43.1260647932205,1.235039658623,1.19810272168897
"809",0.51,1.47,-43.4890154628468,1.29585440665845,1.24990846073688
"810",0.61,1.47,-43.8633970195228,1.35801953268528,1.30306457786813
"811",0.71,1.47,-44.2491012442115,1.4215226358386,1.35755867246744
"812",0.81,1.47,-44.6460103366679,1.48634927003117,1.41337629914387
"813",0.91,1.47,-45.0539973010322,1.55248302016967,1.47050104447676
"814",1.01,1.47,-45.4729263654425,1.61990558393662,1.52891460972885
"815",0.01,1.49,-41.7817591862169,1.00545734990796,1.00455644900706
"816",0.11,1.49,-42.0972647125977,1.06078965110932,1.05087974119941
"817",0.21,1.49,-42.4245633779097,1.11750027446782,1.0985813555489
"818",0.31,1.49,-42.7635876676108,1.17558557599701,1.14765764806927
"819",0.41,1.49,-43.1142593625489,1.235039658623,1.19810272168897
"820",0.51,1.49,-43.4764897450998,1.29585440665845,1.24990846073688
"821",0.61,1.49,-43.8501798554926,1.35801953268528,1.30306457786813
"822",0.71,1.49,-44.2352207954766,1.4215226358386,1.35755867246744
"823",0.81,1.49,-44.6314940757227,1.48634927003117,1.41337629914387
"824",0.91,1.49,-45.038872002546,1.55248302016967,1.47050104447676
"825",1.01,1.49,-45.4572180987289,1.61990558393662,1.52891460972885
"826",0.01,1.51,-41.7756886143542,1.00545734990796,1.00455644900706
"827",0.11,1.51,-42.0903686265422,1.06078965110932,1.05087974119941
"828",0.21,1.51,-42.4168726250908,1.11750027446782,1.0985813555489
"829",0.31,1.51,-42.7551324740723,1.17558557599701,1.14765764806927
"830",0.41,1.51,-43.1050693200603,1.235039658623,1.19810272168897
"831",0.51,1.51,-43.4665937989551,1.29585440665845,1.24990846073688
"832",0.61,1.51,-43.8396062931112,1.35801953268528,1.30306457786813
"833",0.71,1.51,-44.2239972359161,1.4215226358386,1.35755867246744
"834",0.81,1.51,-44.6196474602022,1.48634927003117,1.41337629914387
"835",0.91,1.51,-45.0264285860684,1.55248302016967,1.47050104447676
"836",1.01,1.51,-45.444203442881,1.61990558393662,1.52891460972885
"837",0.01,1.53,-41.7720987410411,1.00545734990796,1.00455644900706
"838",0.11,1.53,-42.0859696042739,1.06078965110932,1.05087974119941
"839",0.21,1.53,-42.4116947195167,1.11750027446782,1.0985813555489
"840",0.31,1.53,-42.7492053384311,1.17558557599701,1.14765764806927
"841",0.41,1.53,-43.0984219827657,1.235039658623,1.19810272168897
"842",0.51,1.53,-43.4592546518474,1.29585440665845,1.24990846073688
"843",0.61,1.53,-43.8316030804892,1.35801953268528,1.30306457786813
"844",0.71,1.53,-44.2153570444553,1.4215226358386,1.35755867246744
"845",0.81,1.53,-44.610396709856,1.48634927003117,1.41337629914387
"846",0.91,1.53,-45.0165930220398,1.55248302016967,1.47050104447676
"847",1.01,1.53,-45.4338081287404,1.61990558393662,1.52891460972885
"848",0.01,1.55,-41.770921184482,1.00545734990796,1.00455644900706
"849",0.11,1.55,-42.0839989391995,1.06078965110932,1.05087974119941
"850",0.21,1.55,-42.4089606401741,1.11750027446782,1.0985813555489
"851",0.31,1.55,-42.7457369355822,1.17558557599701,1.14765764806927
"852",0.41,1.55,-43.0942477317293,1.235039658623,1.19810272168897
"853",0.51,1.55,-43.4544024011874,1.29585440665845,1.24990846073688
"854",0.61,1.55,-43.8261000414609,1.35801953268528,1.30306457786813
"855",0.71,1.55,-44.2092297813142,1.4215226358386,1.35755867246744
"856",0.81,1.55,-44.6036711311224,1.48634927003117,1.41337629914387
"857",0.91,1.55,-45.0092943728052,1.55248302016967,1.47050104447676
"858",1.01,1.55,-45.4259609840909,1.61990558393662,1.52891460972885
"859",0.01,1.57,-41.7720904371896,1.00545734990796,1.00455644900706
"860",0.11,1.57,-42.0843908054947,1.06078965110932,1.05087974119941
"861",0.21,1.57,-42.4086042531189,1.11750027446782,1.0985813555489
"862",0.31,1.57,-42.7446608336254,1.17558557599701,1.14765764806927
"863",0.41,1.57,-43.0924798471881,1.235039658623,1.19810272168897
"864",0.51,1.57,-43.4519700493561,1.29585440665845,1.24990846073688
"865",0.61,1.57,-43.8230299104568,1.35801953268528,1.30306457786813
"866",0.71,1.57,-44.2055479227608,1.4215226358386,1.35755867246744
"867",0.81,1.57,-44.599402951764,1.48634927003117,1.41337629914387
"868",0.91,1.57,-45.0044646271353,1.55248302016967,1.47050104447676
"869",1.01,1.57,-45.4205937680681,1.61990558393662,1.52891460972885
"870",0.01,1.59,-41.7755437122709,1.00545734990796,1.00455644900706
"871",0.11,1.59,-42.087082104261,1.06078965110932,1.05087974119941
"872",0.21,1.59,-42.4105621575054,1.11750027446782,1.0985813555489
"873",0.31,1.59,-42.7459133397687,1.17558557599701,1.14765764806927
"874",0.41,1.59,-43.0930543543313,1.235039658623,1.19810272168897
"875",0.51,1.59,-43.4518933493629,1.29585440665845,1.24990846073688
"876",0.61,1.59,-43.822328178041,1.35801953268528,1.30306457786813
"877",0.71,1.59,-44.2042467065309,1.4215226358386,1.35755867246744
"878",0.81,1.59,-44.5975271661737,1.48634927003117,1.41337629914387
"879",0.91,1.59,-45.0020385454209,1.55248302016967,1.47050104447676
"880",1.01,1.59,-45.4176410162448,1.61990558393662,1.52891460972885
"881",0.01,1.61,-41.7812207995567,1.00545734990796,1.00455644900706
"882",0.11,1.61,-42.0920123195291,1.06078965110932,1.05087974119941
"883",0.21,1.61,-42.4147735414644,1.11750027446782,1.0985813555489
"884",0.31,1.61,-42.7494333560829,1.17558557599701,1.14765764806927
"885",0.41,1.61,-43.0959098789338,1.235039658623,1.19810272168897
"886",0.51,1.61,-43.454110660359,1.29585440665845,1.24990846073688
"887",0.61,1.61,-43.8239329463083,1.35801953268528,1.30306457786813
"888",0.71,1.61,-44.2052639871109,1.4215226358386,1.35755867246744
"889",0.81,1.61,-44.5979813905451,1.48634927003117,1.41337629914387
"890",0.91,1.61,-45.0019535147337,1.55248302016967,1.47050104447676
"891",1.01,1.61,-45.4170398955861,1.61990558393662,1.52891460972885
"892",0.01,1.63,-41.7890639308382,1.00545734990796,1.00455644900706
"893",0.11,1.63,-42.0991233833706,1.06078965110932,1.05087974119941
"894",0.21,1.63,-42.4211800470928,1.11750027446782,1.0985813555489
"895",0.31,1.63,-42.7551622443708,1.17558557599701,1.14765764806927
"896",0.41,1.63,-43.1009875121057,1.235039658623,1.19810272168897
"897",0.51,1.63,-43.4585628122711,1.29585440665845,1.24990846073688
"898",0.61,1.63,-43.8277847934036,1.35801953268528,1.30306457786813
"899",0.71,1.63,-44.2085401001451,1.4215226358386,1.35755867246744
"900",0.81,1.63,-44.6007057271704,1.48634927003117,1.41337629914387
"901",0.91,1.63,-45.0041494130182,1.55248302016967,1.47050104447676
"902",1.01,1.63,-45.418730068537,1.61990558393662,1.52891460972885
"903",0.01,1.65,-41.799017653537,1.00545734990796,1.00455644900706
"904",0.11,1.65,-42.108359549448,1.06078965110932,1.05087974119941
"905",0.21,1.65,-42.4297256438833,1.11750027446782,1.0985813555489
"906",0.31,1.65,-42.7630436994782,1.17558557599701,1.14765764806927
"907",0.41,1.65,-43.1082306834882,1.235039658623,1.19810272168897
"908",0.51,1.65,-43.4651929788825,1.29585440665845,1.24990846073688
"909",0.61,1.65,-43.8338266464907,1.35801953268528,1.30306457786813
"910",0.71,1.65,-44.2140177352955,1.4215226358386,1.35755867246744
"911",0.81,1.65,-44.6056426371942,1.48634927003117,1.41337629914387
"912",0.91,1.65,-45.0085684817408,1.55248302016967,1.47050104447676
"913",1.01,1.65,-45.4226535655707,1.61990558393662,1.52891460972885
"914",0.01,1.67,-41.8110287121952,1.00545734990796,1.00455644900706
"915",0.11,1.67,-42.1196672743844,1.06078965110932,1.05087974119941
"916",0.21,1.67,-42.4403565099769,1.11750027446782,1.0985813555489
"917",0.31,1.67,-42.7730236304314,1.17558557599701,1.14765764806927
"918",0.41,1.67,-43.1175850422768,1.235039658623,1.19810272168897
"919",0.51,1.67,-43.4739465587449,1.29585440665845,1.24990846073688
"920",0.61,1.67,-43.8420036625554,1.35801953268528,1.30306457786813
"921",0.71,1.67,-44.2216418169377,1.4215226358386,1.35755867246744
"922",0.81,1.67,-44.6127368212043,1.48634927003117,1.41337629914387
"923",0.91,1.67,-45.01515520638,1.55248302016967,1.47050104447676
"924",1.01,1.67,-45.4287546655794,1.61990558393662,1.52891460972885
"925",0.01,1.69,-41.8250459372182,1.00545734990796,1.00455644900706
"926",0.11,1.69,-42.1329951063909,1.06078965110932,1.05087974119941
"927",0.21,1.69,-42.4530209206752,1.11750027446782,1.0985813555489
"928",0.31,1.69,-42.7850500488358,1.17558557599701,1.14765764806927
"929",0.41,1.69,-43.1289983455084,1.235039658623,1.19810272168897
"930",0.51,1.69,-43.4847710633566,1.29585440665845,1.24990846073688
"931",0.61,1.69,-43.8522631164766,1.35801953268528,1.30306457786813
"932",0.71,1.69,-44.2313593921279,1.4215226358386,1.35755867246744
"933",0.81,1.69,-44.6219351070974,1.48634927003117,1.41337629914387
"934",0.91,1.69,-45.0238562041919,1.55248302016967,1.47050104447676
"935",1.01,1.69,-45.4369797835442,1.61990558393662,1.52891460972885
"936",0.01,1.71,-41.841020140355,1.00545734990796,1.00455644900706
"937",0.11,1.71,-42.1482935806317,1.06078965110932,1.05087974119941
"938",0.21,1.71,-42.467669143693,1.11750027446782,1.0985813555489
"939",0.31,1.71,-42.7990729640176,1.17558557599701,1.14765764806927
"940",0.41,1.71,-43.1424203530948,1.235039658623,1.19810272168897
"941",0.51,1.71,-43.4976160120893,1.29585440665845,1.24990846073688
"942",0.61,1.71,-43.8645542958485,1.35801953268528,1.30306457786813
"943",0.71,1.71,-44.243119525323,1.4215226358386,1.35755867246744
"944",0.81,1.71,-44.6331863446993,1.48634927003117,1.41337629914387
"945",0.91,1.71,-45.0346201187342,1.55248302016967,1.47050104447676
"946",1.01,1.71,-45.4472773649642,1.61990558393662,1.52891460972885
