"","prop","mu","prob","meanN","meanNb"
"298",0.92,0.67,-50.0778029741807,3.44085220723295,3.13086552189665
"299",0.93,0.67,-49.5156353367615,3.44166284082681,3.131603125437
"300",0.94,0.67,-48.9594803026906,3.4424565518185,3.13232533093395
"301",0.95,0.67,-48.4092106175027,3.44323386453746,3.13303261548003
"302",0.96,0.67,-47.8647030244033,3.44399528187771,3.1337254366635
"303",0.97,0.67,-47.3258380985549,3.44474128638196,3.13440423355476
"304",0.98,0.67,-46.792500089861,3.44547234126062,3.13506942763354
"305",0.99,0.67,-46.2645767737321,3.44618889135012,3.13572142366092
"306",1,0.67,-45.74195930935,3.44689136401487,3.13636061050002
"307",0.92,0.69,-49.826511483771,3.44085220723295,3.13086552189665
"308",0.93,0.69,-49.2643438463518,3.44166284082681,3.131603125437
"309",0.94,0.69,-48.7081888122809,3.4424565518185,3.13232533093395
"310",0.95,0.69,-48.157919127093,3.44323386453746,3.13303261548003
"311",0.96,0.69,-47.6134115339936,3.44399528187771,3.1337254366635
"312",0.97,0.69,-47.0745466081452,3.44474128638196,3.13440423355476
"313",0.98,0.69,-46.5412085994514,3.44547234126062,3.13506942763354
"314",0.99,0.69,-46.0132852833225,3.44618889135012,3.13572142366092
"315",1,0.69,-45.4906678189404,3.44689136401487,3.13636061050002
"316",0.92,0.71,-49.5887659008474,3.44085220723295,3.13086552189665
"317",0.93,0.71,-49.0265982634281,3.44166284082681,3.131603125437
"318",0.94,0.71,-48.4704432293573,3.4424565518185,3.13232533093395
"319",0.95,0.71,-47.9201735441693,3.44323386453746,3.13303261548003
"320",0.96,0.71,-47.37566595107,3.44399528187771,3.1337254366635
"321",0.97,0.71,-46.8368010252216,3.44474128638196,3.13440423355476
"322",0.98,0.71,-46.3034630165277,3.44547234126062,3.13506942763354
"323",0.99,0.71,-45.7755397003988,3.44618889135012,3.13572142366092
"324",1,0.71,-45.2529222360167,3.44689136401487,3.13636061050002
"325",0.92,0.73,-49.3637585538185,3.44085220723295,3.13086552189665
"326",0.93,0.73,-48.8015909163993,3.44166284082681,3.131603125437
"327",0.94,0.73,-48.2454358823284,3.4424565518185,3.13232533093395
"328",0.95,0.73,-47.6951661971405,3.44323386453746,3.13303261548003
"329",0.96,0.73,-47.1506586040411,3.44399528187771,3.1337254366635
"330",0.97,0.73,-46.6117936781927,3.44474128638196,3.13440423355476
"331",0.98,0.73,-46.0784556694989,3.44547234126062,3.13506942763354
"332",0.99,0.73,-45.5505323533699,3.44618889135012,3.13572142366092
"333",1,0.73,-45.0279148889879,3.44689136401487,3.13636061050002
"334",0.92,0.75,-49.1507492208392,3.44085220723295,3.13086552189665
"335",0.93,0.75,-48.58858158342,3.44166284082681,3.131603125437
"336",0.94,0.75,-48.0324265493491,3.4424565518185,3.13232533093395
"337",0.95,0.75,-47.4821568641612,3.44323386453746,3.13303261548003
"338",0.96,0.75,-46.9376492710618,3.44399528187771,3.1337254366635
"339",0.97,0.75,-46.3987843452134,3.44474128638196,3.13440423355476
"340",0.98,0.75,-45.8654463365196,3.44547234126062,3.13506942763354
"341",0.99,0.75,-45.3375230203906,3.44618889135012,3.13572142366092
"342",1,0.75,-44.8149055560086,3.44689136401487,3.13636061050002
"343",0.92,0.77,-48.9490579692603,3.44085220723295,3.13086552189665
"344",0.93,0.77,-48.3868903318411,3.44166284082681,3.131603125437
"345",0.94,0.77,-47.8307352977702,3.4424565518185,3.13232533093395
"346",0.95,0.77,-47.2804656125823,3.44323386453746,3.13303261548003
"347",0.96,0.77,-46.7359580194829,3.44399528187771,3.1337254366635
"348",0.97,0.77,-46.1970930936345,3.44474128638196,3.13440423355476
"349",0.98,0.77,-45.6637550849407,3.44547234126062,3.13506942763354
"350",0.99,0.77,-45.1358317688118,3.44618889135012,3.13572142366092
"351",1,0.77,-44.6132143044297,3.44689136401487,3.13636061050002
"352",0.92,0.79,-48.7580589152634,3.44085220723295,3.13086552189665
"353",0.93,0.79,-48.1958912778442,3.44166284082681,3.131603125437
"354",0.94,0.79,-47.6397362437733,3.4424565518185,3.13232533093395
